FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,SEX,URBANIZATION,DISABILITY,OCCUPATION,ECONOMIC_SECTOR,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT,CONF_STATUS
A,2021,TO,POPCNT,M,R,1,9,A,1279,N,,,,,
A,2019,KI,POPCNT,M,U,1,9,A,417,N,,,,,
A,2019,MH,POPCNT,M,U,1,9,A,87,N,,,,,
A,2019,VU,POPCNT,M,U,1,9,A,39,N,,,,,
A,2021,TO,POPCNT,M,U,1,9,A,177,N,,,,,
A,2019,KI,POPCNT,F,R,2,9,A,4,N,,,,,
A,2019,KI,POPCNT,M,R,2,9,A,23,N,,,,,
A,2021,TO,POPCNT,M,R,2,9,A,7,N,,,,,
A,2019,MH,POPCNT,M,U,2,9,A,1,N,,,,,
A,2021,TO,POPCNT,M,U,1,1,B,9,N,,,,,
A,2019,KI,POPCNT,M,R,1,3,B,6,N,,,,,
A,2019,VU,POPCNT,M,R,1,3,B,17,N,,,,,
A,2021,TO,POPCNT,M,R,1,3,B,18,N,,,,,
A,2021,TO,POPCNT,M,U,1,3,B,7,N,,,,,
A,2021,TO,POPCNT,F,U,1,4,B,7,N,,,,,
A,2019,VU,POPCNT,M,U,1,4,B,8,N,,,,,
A,2019,VU,POPCNT,F,R,1,5,B,0,N,,,,,
A,2019,KI,POPCNT,M,U,1,5,B,16,N,,,,,
A,2019,MH,POPCNT,M,U,1,5,B,13,N,,,,,
A,2019,KI,POPCNT,M,R,1,7,B,1,N,,,,,
A,2019,KI,POPCNT,M,U,1,7,B,20,N,,,,,
A,2019,MH,POPCNT,M,U,1,7,B,13,N,,,,,
A,2019,VU,POPCNT,M,U,1,7,B,16,N,,,,,
A,2021,TO,POPCNT,M,R,1,8,B,37,N,,,,,
A,2019,VU,POPCNT,M,U,1,8,B,46,N,,,,,
A,2021,TO,POPCNT,M,U,1,8,B,7,N,,,,,
A,2019,VU,POPCNT,M,R,1,_X,C,14,N,,,,,
A,2019,VU,POPCNT,M,U,1,_X,C,6,N,,,,,
A,2019,KI,POPCNT,F,U,1,1,C,32,N,,,,,
A,2019,VU,POPCNT,F,U,1,1,C,35,N,,,,,
A,2019,VU,POPCNT,M,R,1,1,C,95,N,,,,,
A,2021,TO,POPCNT,M,R,1,1,C,7,N,,,,,
A,2019,KI,POPCNT,M,U,1,1,C,57,N,,,,,
A,2019,VU,POPCNT,M,U,1,1,C,85,N,,,,,
A,2019,MH,POPCNT,M,R,2,1,C,9,N,,,,,
A,2019,MH,POPCNT,M,U,2,1,C,1,N,,,,,
A,2019,KI,POPCNT,F,R,1,2,C,13,N,,,,,
A,2021,TO,POPCNT,F,R,1,2,C,7,N,,,,,
A,2019,VU,POPCNT,F,U,1,2,C,25,N,,,,,
A,2019,MH,POPCNT,M,R,1,2,C,2,N,,,,,
A,2019,VU,POPCNT,M,R,1,2,C,31,N,,,,,
A,2021,TO,POPCNT,M,R,1,2,C,53,N,,,,,
A,2019,KI,POPCNT,M,U,1,2,C,37,N,,,,,
A,2019,VU,POPCNT,M,U,1,2,C,7,N,,,,,
A,2021,TO,POPCNT,F,R,1,3,C,7,N,,,,,
A,2019,KI,POPCNT,F,U,1,3,C,17,N,,,,,
A,2019,VU,POPCNT,F,U,1,3,C,14,N,,,,,
A,2021,TO,POPCNT,F,U,1,3,C,15,N,,,,,
A,2019,KI,POPCNT,M,U,1,3,C,18,N,,,,,
A,2019,MH,POPCNT,M,U,1,3,C,17,N,,,,,
A,2021,TO,POPCNT,M,U,1,3,C,16,N,,,,,
A,2019,KI,POPCNT,F,R,1,4,C,1,N,,,,,
A,2019,VU,POPCNT,F,R,1,4,C,17,N,,,,,
A,2019,KI,POPCNT,F,U,1,4,C,15,N,,,,,
A,2019,VU,POPCNT,F,U,1,4,C,24,N,,,,,
A,2021,TO,POPCNT,F,U,1,4,C,15,N,,,,,
A,2019,KI,POPCNT,F,R,1,5,C,5,N,,,,,
A,2019,VU,POPCNT,F,R,1,5,C,112,N,,,,,
A,2021,TO,POPCNT,F,R,1,5,C,84,N,,,,,
A,2019,KI,POPCNT,F,U,1,5,C,67,N,,,,,
A,2019,VU,POPCNT,F,U,1,5,C,44,N,,,,,
A,2021,TO,POPCNT,F,U,1,5,C,52,N,,,,,
A,2019,KI,POPCNT,M,R,1,5,C,28,N,,,,,
A,2021,TO,POPCNT,M,R,1,5,C,7,N,,,,,
A,2019,KI,POPCNT,M,U,1,5,C,78,N,,,,,
A,2019,MH,POPCNT,M,U,1,5,C,33,N,,,,,
A,2019,VU,POPCNT,M,U,1,5,C,32,N,,,,,
A,2021,TO,POPCNT,M,U,1,5,C,15,N,,,,,
A,2019,KI,POPCNT,F,U,1,6,C,7,N,,,,,
A,2019,KI,POPCNT,M,R,1,6,C,2,N,,,,,
A,2019,MH,POPCNT,M,U,1,6,C,13,N,,,,,
A,2021,TO,POPCNT,M,U,1,6,C,15,N,,,,,
A,2019,KI,POPCNT,F,R,1,7,C,173,N,,,,,
A,2019,MH,POPCNT,F,R,1,7,C,53,N,,,,,
A,2019,VU,POPCNT,F,R,1,7,C,782,N,,,,,
A,2021,TO,POPCNT,F,R,1,7,C,2010,N,,,,,
A,2019,KI,POPCNT,F,U,1,7,C,97,N,,,,,
A,2019,MH,POPCNT,F,U,1,7,C,45,N,,,,,
A,2019,VU,POPCNT,F,U,1,7,C,767,N,,,,,
A,2021,TO,POPCNT,F,U,1,7,C,626,N,,,,,
A,2019,KI,POPCNT,M,R,1,7,C,57,N,,,,,
A,2019,VU,POPCNT,M,R,1,7,C,619,N,,,,,
A,2021,TO,POPCNT,M,R,1,7,C,206,N,,,,,
A,2019,KI,POPCNT,M,U,1,7,C,100,N,,,,,
A,2019,MH,POPCNT,M,U,1,7,C,122,N,,,,,
A,2019,VU,POPCNT,M,U,1,7,C,684,N,,,,,
A,2021,TO,POPCNT,M,U,1,7,C,170,N,,,,,
A,2019,KI,POPCNT,F,R,2,7,C,13,N,,,,,
A,2019,VU,POPCNT,F,R,2,7,C,24,N,,,,,
A,2021,TO,POPCNT,F,R,2,7,C,62,N,,,,,
A,2021,TO,POPCNT,F,U,2,7,C,15,N,,,,,
A,2019,KI,POPCNT,M,R,2,7,C,7,N,,,,,
A,2019,VU,POPCNT,M,R,2,7,C,27,N,,,,,
A,2021,TO,POPCNT,M,R,2,7,C,18,N,,,,,
A,2019,VU,POPCNT,M,U,2,7,C,6,N,,,,,
A,2021,TO,POPCNT,M,U,2,7,C,7,N,,,,,
A,2021,TO,POPCNT,F,R,1,8,C,23,N,,,,,
A,2019,KI,POPCNT,F,U,1,8,C,25,N,,,,,
A,2019,KI,POPCNT,M,R,1,8,C,9,N,,,,,
A,2021,TO,POPCNT,M,R,1,8,C,49,N,,,,,
A,2019,KI,POPCNT,M,U,1,8,C,47,N,,,,,
A,2019,MH,POPCNT,M,U,1,8,C,18,N,,,,,
A,2019,VU,POPCNT,M,U,1,8,C,47,N,,,,,
A,2021,TO,POPCNT,M,U,1,8,C,15,N,,,,,
A,2019,MH,POPCNT,M,U,2,8,C,13,N,,,,,
A,2019,KI,POPCNT,F,R,1,9,C,13,N,,,,,
A,2021,TO,POPCNT,F,R,1,9,C,15,N,,,,,
A,2019,KI,POPCNT,F,U,1,9,C,103,N,,,,,
A,2019,MH,POPCNT,F,U,1,9,C,14,N,,,,,
A,2019,VU,POPCNT,F,U,1,9,C,15,N,,,,,
A,2021,TO,POPCNT,F,U,1,9,C,7,N,,,,,
A,2019,KI,POPCNT,M,R,1,9,C,8,N,,,,,
A,2021,TO,POPCNT,M,R,1,9,C,3,N,,,,,
A,2019,KI,POPCNT,M,U,1,9,C,136,N,,,,,
A,2019,MH,POPCNT,M,U,1,9,C,30,N,,,,,
A,2019,VU,POPCNT,M,U,1,9,C,49,N,,,,,
A,2021,TO,POPCNT,M,U,1,9,C,7,N,,,,,
