FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,URBANISATION,SEX,AGE,DISABILITY,EDUCATION,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,DATASOURCE,OBS_STATUS,OBS_COMMENT,CONF_STATUS
A,2017,TV,POPCNT,U,F,Y55T64,1,2,13,N,,,,,
A,2019,KI,POPCNT,U,F,Y55T64,1,2,35,N,,,,,
A,2019,MH,POPCNT,U,F,Y55T64,1,2,11,N,,,,,
A,2019,VU,POPCNT,U,F,Y55T64,1,2,103,N,,,,,
A,2020,KI,POPCNT,U,F,Y55T64,1,2,86,N,,,,,
A,2020,PW,POPCNT,U,F,Y55T64,1,2,12,N,,,,,
A,2020,VU,POPCNT,U,F,Y55T64,1,2,186,N,,,,,
A,2021,MH,POPCNT,U,F,Y55T64,1,2,47,N,,,,,
A,2021,TO,POPCNT,U,F,Y55T64,1,2,59,N,,,,,
A,2017,TV,POPCNT,R,M,Y55T64,1,2,40,N,,,,,
A,2019,KI,POPCNT,R,M,Y55T64,1,2,35,N,,,,,
A,2019,VU,POPCNT,R,M,Y55T64,1,2,697,N,,,,,
A,2020,KI,POPCNT,R,M,Y55T64,1,2,42,N,,,,,
A,2020,PW,POPCNT,R,M,Y55T64,1,2,8,N,,,,,
A,2020,VU,POPCNT,R,M,Y55T64,1,2,1016,N,,,,,
A,2021,TO,POPCNT,R,M,Y55T64,1,2,153,N,,,,,
A,2017,TV,POPCNT,U,M,Y55T64,1,2,11,N,,,,,
A,2019,KI,POPCNT,U,M,Y55T64,1,2,20,N,,,,,
A,2019,MH,POPCNT,U,M,Y55T64,1,2,53,N,,,,,
A,2019,VU,POPCNT,U,M,Y55T64,1,2,42,N,,,,,
A,2020,KI,POPCNT,U,M,Y55T64,1,2,50,N,,,,,
A,2020,PW,POPCNT,U,M,Y55T64,1,2,12,N,,,,,
A,2020,VU,POPCNT,U,M,Y55T64,1,2,154,N,,,,,
A,2021,MH,POPCNT,U,M,Y55T64,1,2,59,N,,,,,
A,2021,TO,POPCNT,U,M,Y55T64,1,2,53,N,,,,,
A,2017,TV,POPCNT,R,F,Y65T999,1,2,35,N,,,,,
A,2019,KI,POPCNT,R,F,Y65T999,1,2,216,N,,,,,
A,2019,MH,POPCNT,R,F,Y65T999,1,2,3,N,,,,,
A,2019,VU,POPCNT,R,F,Y65T999,1,2,1216,N,,,,,
A,2020,KI,POPCNT,R,F,Y65T999,1,2,85,N,,,,,
A,2020,PW,POPCNT,R,F,Y65T999,1,2,7,N,,,,,
A,2020,VU,POPCNT,R,F,Y65T999,1,2,1474,N,,,,,
A,2021,TO,POPCNT,R,F,Y65T999,1,2,170,N,,,,,
A,2017,TV,POPCNT,U,F,Y65T999,1,2,9,N,,,,,
A,2019,KI,POPCNT,U,F,Y65T999,1,2,96,N,,,,,
A,2019,VU,POPCNT,U,F,Y65T999,1,2,28,N,,,,,
A,2020,KI,POPCNT,U,F,Y65T999,1,2,82,N,,,,,
A,2020,PW,POPCNT,U,F,Y65T999,1,2,20,N,,,,,
A,2020,VU,POPCNT,U,F,Y65T999,1,2,146,N,,,,,
A,2021,MH,POPCNT,U,F,Y65T999,1,2,37,N,,,,,
A,2021,TO,POPCNT,U,F,Y65T999,1,2,52,N,,,,,
A,2017,TV,POPCNT,R,M,Y65T999,1,2,14,N,,,,,
A,2019,KI,POPCNT,R,M,Y65T999,1,2,90,N,,,,,
A,2019,MH,POPCNT,R,M,Y65T999,1,2,11,N,,,,,
A,2019,VU,POPCNT,R,M,Y65T999,1,2,904,N,,,,,
A,2020,KI,POPCNT,R,M,Y65T999,1,2,34,N,,,,,
A,2020,PW,POPCNT,R,M,Y65T999,1,2,4,N,,,,,
A,2020,VU,POPCNT,R,M,Y65T999,1,2,1083,N,,,,,
A,2021,TO,POPCNT,R,M,Y65T999,1,2,126,N,,,,,
A,2017,TV,POPCNT,U,M,Y65T999,1,2,8,N,,,,,
A,2019,VU,POPCNT,U,M,Y65T999,1,2,36,N,,,,,
A,2020,KI,POPCNT,U,M,Y65T999,1,2,37,N,,,,,
A,2020,PW,POPCNT,U,M,Y65T999,1,2,9,N,,,,,
A,2020,VU,POPCNT,U,M,Y65T999,1,2,107,N,,,,,
A,2021,MH,POPCNT,U,M,Y65T999,1,2,18,N,,,,,
A,2021,TO,POPCNT,U,M,Y65T999,1,2,42,N,,,,,
A,2017,TV,POPCNT,R,F,Y25T54,2,2,7,N,,,,,
A,2019,KI,POPCNT,R,F,Y25T54,2,2,79,N,,,,,
A,2019,VU,POPCNT,R,F,Y25T54,2,2,116,N,,,,,
A,2020,KI,POPCNT,R,F,Y25T54,2,2,50,N,,,,,
A,2020,PW,POPCNT,R,F,Y25T54,2,2,3,N,,,,,
A,2020,VU,POPCNT,R,F,Y25T54,2,2,268,N,,,,,
A,2021,TO,POPCNT,R,F,Y25T54,2,2,61,N,,,,,
A,2017,TV,POPCNT,U,F,Y25T54,2,2,4,N,,,,,
A,2019,KI,POPCNT,U,F,Y25T54,2,2,41,N,,,,,
A,2020,KI,POPCNT,U,F,Y25T54,2,2,36,N,,,,,
A,2020,PW,POPCNT,U,F,Y25T54,2,2,2,N,,,,,
A,2020,VU,POPCNT,U,F,Y25T54,2,2,44,N,,,,,
A,2021,MH,POPCNT,U,F,Y25T54,2,2,13,N,,,,,
A,2021,TO,POPCNT,U,F,Y25T54,2,2,22,N,,,,,
A,2017,TV,POPCNT,R,M,Y25T54,2,2,4,N,,,,,
A,2019,KI,POPCNT,R,M,Y25T54,2,2,55,N,,,,,
A,2019,MH,POPCNT,R,M,Y25T54,2,2,9,N,,,,,
A,2019,VU,POPCNT,R,M,Y25T54,2,2,135,N,,,,,
A,2020,KI,POPCNT,R,M,Y25T54,2,2,61,N,,,,,
A,2020,PW,POPCNT,R,M,Y25T54,2,2,4,N,,,,,
A,2020,VU,POPCNT,R,M,Y25T54,2,2,228,N,,,,,
A,2021,TO,POPCNT,R,M,Y25T54,2,2,158,N,,,,,
A,2017,TV,POPCNT,U,M,Y25T54,2,2,6,N,,,,,
A,2019,KI,POPCNT,U,M,Y25T54,2,2,13,N,,,,,
A,2019,MH,POPCNT,U,M,Y25T54,2,2,13,N,,,,,
A,2019,VU,POPCNT,U,M,Y25T54,2,2,16,N,,,,,
A,2020,KI,POPCNT,U,M,Y25T54,2,2,50,N,,,,,
A,2020,PW,POPCNT,U,M,Y25T54,2,2,4,N,,,,,
A,2020,VU,POPCNT,U,M,Y25T54,2,2,38,N,,,,,
A,2021,MH,POPCNT,U,M,Y25T54,2,2,32,N,,,,,
A,2021,TO,POPCNT,U,M,Y25T54,2,2,18,N,,,,,
A,2017,TV,POPCNT,R,F,Y55T64,2,2,10,N,,,,,
A,2019,KI,POPCNT,R,F,Y55T64,2,2,37,N,,,,,
A,2019,VU,POPCNT,R,F,Y55T64,2,2,37,N,,,,,
A,2020,KI,POPCNT,R,F,Y55T64,2,2,35,N,,,,,
A,2020,PW,POPCNT,R,F,Y55T64,2,2,2,N,,,,,
A,2020,VU,POPCNT,R,F,Y55T64,2,2,153,N,,,,,
A,2021,TO,POPCNT,R,F,Y55T64,2,2,27,N,,,,,
A,2017,TV,POPCNT,U,F,Y55T64,2,2,3,N,,,,,
A,2019,KI,POPCNT,U,F,Y55T64,2,2,46,N,,,,,
A,2019,MH,POPCNT,U,F,Y55T64,2,2,11,N,,,,,
A,2020,KI,POPCNT,U,F,Y55T64,2,2,27,N,,,,,
A,2020,PW,POPCNT,U,F,Y55T64,2,2,1,N,,,,,
A,2020,VU,POPCNT,U,F,Y55T64,2,2,18,N,,,,,
A,2021,MH,POPCNT,U,F,Y55T64,2,2,4,N,,,,,
A,2021,TO,POPCNT,U,F,Y55T64,2,2,3,N,,,,,
A,2017,TV,POPCNT,R,M,Y55T64,2,2,6,N,,,,,
A,2019,KI,POPCNT,R,M,Y55T64,2,2,17,N,,,,,
A,2019,VU,POPCNT,R,M,Y55T64,2,2,104,N,,,,,
A,2020,KI,POPCNT,R,M,Y55T64,2,2,29,N,,,,,
A,2020,VU,POPCNT,R,M,Y55T64,2,2,91,N,,,,,
A,2021,TO,POPCNT,R,M,Y55T64,2,2,47,N,,,,,
A,2017,TV,POPCNT,U,M,Y55T64,2,2,1,N,,,,,
A,2019,MH,POPCNT,U,M,Y55T64,2,2,67,N,,,,,
A,2020,KI,POPCNT,U,M,Y55T64,2,2,17,N,,,,,
A,2020,PW,POPCNT,U,M,Y55T64,2,2,2,N,,,,,
A,2020,VU,POPCNT,U,M,Y55T64,2,2,15,N,,,,,
A,2021,MH,POPCNT,U,M,Y55T64,2,2,4,N,,,,,
A,2021,TO,POPCNT,U,M,Y55T64,2,2,15,N,,,,,
A,2017,TV,POPCNT,R,F,Y65T999,2,2,18,N,,,,,
A,2019,KI,POPCNT,R,F,Y65T999,2,2,135,N,,,,,
A,2019,MH,POPCNT,R,F,Y65T999,2,2,3,N,,,,,
A,2019,VU,POPCNT,R,F,Y65T999,2,2,343,N,,,,,
A,2020,KI,POPCNT,R,F,Y65T999,2,2,112,N,,,,,
A,2020,PW,POPCNT,R,F,Y65T999,2,2,8,N,,,,,
A,2020,VU,POPCNT,R,F,Y65T999,2,2,757,N,,,,,
A,2021,TO,POPCNT,R,F,Y65T999,2,2,72,N,,,,,
A,2017,TV,POPCNT,U,F,Y65T999,2,2,7,N,,,,,
A,2019,KI,POPCNT,U,F,Y65T999,2,2,134,N,,,,,
A,2019,MH,POPCNT,U,F,Y65T999,2,2,27,N,,,,,
A,2019,VU,POPCNT,U,F,Y65T999,2,2,8,N,,,,,
A,2020,KI,POPCNT,U,F,Y65T999,2,2,119,N,,,,,
A,2020,PW,POPCNT,U,F,Y65T999,2,2,7,N,,,,,
A,2020,VU,POPCNT,U,F,Y65T999,2,2,74,N,,,,,
A,2021,MH,POPCNT,U,F,Y65T999,2,2,7,N,,,,,
A,2021,TO,POPCNT,U,F,Y65T999,2,2,16,N,,,,,
A,2017,TV,POPCNT,R,M,Y65T999,2,2,6,N,,,,,
A,2019,KI,POPCNT,R,M,Y65T999,2,2,44,N,,,,,
A,2019,MH,POPCNT,R,M,Y65T999,2,2,10,N,,,,,
A,2019,VU,POPCNT,R,M,Y65T999,2,2,284,N,,,,,
A,2020,KI,POPCNT,R,M,Y65T999,2,2,35,N,,,,,
